fold,best_epoch,best_score,val_cows,val_n,val_auc,val_f1,val_f1_opt,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_tn,val_fp,val_fn,val_tp,val_cow_auc,val_cow_f1,val_cow_f1_opt,temperature,val_calibrated_auc,val_calibrated_f1_opt,val_calibrated_cow_auc
0,0,0.0,"374,402",21,,0.0,0.0,0.0,,0.0,0.0,0,21,0,0,,0.0,0.0,1.0,,0.0,
1,0,0.8461538461538461,"310,417",21,0.8461538461538461,0.7647058823529411,0.8461538461538461,0.6190476190476191,0.5,0.6190476190476191,1.0,0,8,0,13,1.0,0.6666666666666666,1.0,0.33216285705566406,0.8461538461538461,0.8461538461538461,1.0
2,2,0.9,"415,436",16,0.9,0.6666666666666666,0.8333333333333334,0.6875,0.7166666666666667,0.5555555555555556,0.8333333333333334,6,4,1,5,1.0,1.0,1.0,0.3828849792480469,0.9,0.9090909090909091,1.0
3,0,1.0,"349,439",10,1.0,0.6666666666666666,1.0,0.6,0.6666666666666666,0.5,1.0,2,4,0,4,1.0,0.6666666666666666,1.0,1.1131138801574707,1.0,0.8888888888888888,1.0
4,5,1.0,"421,428",13,1.0,0.9166666666666666,1.0,0.8461538461538461,0.5,0.8461538461538461,1.0,0,2,0,11,1.0,0.6666666666666666,1.0,0.3533623516559601,1.0,1.0,1.0
5,32,0.95,"406,438",18,0.95,0.0,0.7142857142857143,0.4444444444444444,0.5,0.0,0.0,8,0,10,0,1.0,0.0,0.6666666666666666,10.0,0.95,0.7142857142857143,1.0
6,2,0.9333333333333333,"255,387",19,0.9333333333333333,0.6896551724137931,0.8421052631578947,0.5263157894736842,0.5,0.5263157894736842,1.0,0,9,0,10,1.0,0.6666666666666666,1.0,1.2561814785003662,0.9333333333333333,0.9,1.0
7,2,0.7666666666666666,"432,433",16,0.7666666666666666,0.6666666666666666,0.7692307692307693,0.6875,0.75,1.0,0.5,6,0,5,5,1.0,1.0,1.0,0.3630444407463074,0.7666666666666666,0.8333333333333334,1.0
8,21,0.4333333333333333,"378,427",16,0.4333333333333333,0.4,0.5454545454545454,0.625,0.5666666666666667,0.5,0.3333333333333333,8,2,4,2,0.0,0.0,0.6666666666666666,10.0,0.4333333333333333,0.5454545454545454,0.0
9,17,0.17272727272727267,"370,394",21,0.17272727272727267,0.0,0.6875,0.2857142857142857,0.3,0.0,0.0,6,4,11,0,0.0,0.0,0.6666666666666666,10.0,0.17272727272727267,0.6875,0.0
10,10,0.5,"323,352",10,0.5,0.2,0.8888888888888888,0.2,0.3125,0.5,0.125,1,1,7,1,0.0,0.0,0.6666666666666666,10.0,0.5,0.8888888888888888,0.0
11,8,0.9600000000000001,"354,405",15,0.9600000000000001,0.8695652173913043,0.9090909090909091,0.8,0.7,0.7692307692307693,1.0,2,3,0,10,1.0,0.6666666666666666,1.0,0.4247429072856903,0.9600000000000001,0.9,1.0
12,7,0.575,"425,426",14,0.575,0.7058823529411765,0.8333333333333334,0.6428571428571429,0.675,0.8571428571428571,0.6,3,1,4,6,1.0,1.0,1.0,1.2217580080032349,0.575,0.8333333333333334,1.0
13,0,1.0,"355,446",11,1.0,0.625,1.0,0.45454545454545453,0.5,0.45454545454545453,1.0,0,6,0,5,1.0,0.6666666666666666,1.0,0.7453927993774414,1.0,1.0,1.0
