include,exclude_reasons,sequence_index,cow_id,target,weak_label_text,health_condition,dataset_root,relative_path,detected_frames,filled_frames,detection_rate,filled_rate,mean_detection_confidence,min_detection_confidence
True,,1,394,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 29/394-lameness.mov,240.0,0.0,1.0,0.0,0.9084200409551462,
True,,2,323,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 7/323-lameness.mov,240.0,0.0,1.0,0.0,0.9290141927699248,
True,,3,310,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/310/Video 2025-02-28, 9 59 51 AM.mov",240.0,0.0,1.0,0.0,0.9342046479384104,
True,,4,406,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/406.mov,240.0,0.0,1.0,0.0,0.911056953171889,
True,,5,387,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 29/387.mov,240.0,0.0,1.0,0.0,0.873274622609218,
True,,6,402,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/402.mov,240.0,0.0,1.0,0.0,0.9249715042610963,
True,,7,446,1,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/446- fresh cows.mov,240.0,0.0,1.0,0.0,0.9178997702896595,
True,,8,403,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Oct 1/403-lameness.mov,240.0,0.0,1.0,0.0,0.9344641707837582,
True,,9,374,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/374.mov,240.0,0.0,1.0,0.0,0.9354109381635983,
True,,10,421,1,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/421/Video 2025-03-07, 7 25 57 AM.mov",240.0,0.0,1.0,0.0,0.9247473751505216,
True,,11,433,1,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/433/Video 2025-03-24, 7 12 23 AM.mov",232.0,8.0,0.9666666666666667,0.03333333333333333,0.9055813211819221,
True,,12,438,1,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/438/Video 2025-02-20, 8 57 35 AM.mov",240.0,0.0,1.0,0.0,0.933679478118817,
True,,13,428,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/428.mov,228.0,12.0,0.95,0.05,0.809245539600389,
True,,14,426,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/426.mov,240.0,0.0,1.0,0.0,0.9147064263621966,
True,,15,417,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov",240.0,0.0,1.0,0.0,0.9244140026470026,
True,,16,427,1,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/427- lameness.mov,240.0,0.0,1.0,0.0,0.9299181406696637,
True,,17,378,0,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov",240.0,0.0,1.0,0.0,0.922410644342502,
True,,18,425,1,Unhealthy,unhealthy folder,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/425.mov,240.0,0.0,1.0,0.0,0.9188506041963895,
True,,19,432,0,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/432.mov,240.0,0.0,1.0,0.0,0.9074539872507255,
