cow_id,health,n_seqs,role,exceeds_cap
255,Unhealthy,31,val_fold_4,yes
310,Unhealthy,26,val_fold_3,yes
323,Unhealthy,21,val_fold_1,yes
349,Unhealthy,114,train_only,yes
352,Healthy,4,val_fold_4,no
354,Unhealthy,44,val_fold_0,yes
355,Healthy,13,val_fold_4,no
363,Unhealthy,6,test,no
370,Healthy,35,test,no
374,Healthy,7,val_fold_1,no
378,Unhealthy,40,test,no
387,Healthy,13,val_fold_0,no
394,Unhealthy,21,val_fold_2,yes
402,Healthy,25,val_fold_3,yes
403,Unhealthy,25,test,no
404,Healthy,11,test,no
405,Healthy,13,val_fold_2,no
406,Healthy,12,val_fold_2,no
408,Healthy,10,test,no
415,Unhealthy,6,val_fold_0,no
417,Unhealthy,24,train_only,yes
421,Unhealthy,48,val_fold_3,yes
425,Unhealthy,10,val_fold_1,no
426,Healthy,19,val_fold_0,yes
427,Unhealthy,12,train_only,no
428,Healthy,10,val_fold_1,no
432,Healthy,12,val_fold_3,no
433,Unhealthy,45,test,no
436,Healthy,41,test,no
438,Unhealthy,18,val_fold_2,yes
439,Healthy,9,train_only,no
446,Unhealthy,9,val_fold_4,no
