candidate_rank,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,duration_sec,fps,frame_count
1,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/255/Video 2025-03-10, 7 22 53 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\255\Video 2025-03-10, 7 22 53 AM.mov",122.160000,30.001637,3665
2,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/310/Video 2025-03-10, 7 35 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\310\Video 2025-03-10, 7 35 13 AM.mov",121.826667,30.001642,3655
3,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/354/Video 2025-03-10, 7 39 22 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\354\Video 2025-03-10, 7 39 22 AM.mov",121.326667,30.001648,3640
4,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/370/Video 2025-03-10, 7 43 41 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\370\Video 2025-03-10, 7 43 41 AM.mov",123.443333,29.997570,3703
5,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/378/Video 2025-03-10, 7 26 11 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\378\Video 2025-03-10, 7 26 11 AM.mov",121.760000,30.001643,3653
6,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/417/Video 2025-03-10, 7 30 05 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\417\Video 2025-03-10, 7 30 05 AM.mov",122.160000,30.001637,3665
7,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/421/Video 2025-03-10, 7 20 34 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\421\Video 2025-03-10, 7 20 34 AM.mov",122.126667,30.001638,3664
8,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/433/Video 2025-03-10, 7 37 17 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\433\Video 2025-03-10, 7 37 17 AM.mov",122.393333,30.001634,3672
9,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/436/Video 2025-03-10, 7 41 37 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\436\Video 2025-03-10, 7 41 37 AM.mov",121.193333,30.001650,3636
10,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/438/Video 2025-03-10, 7 32 44 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\438\Video 2025-03-10, 7 32 44 AM.mov",120.760000,30.001656,3623
11,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/255/Video 2025-03-10, 6 27 52 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\255\Video 2025-03-10, 6 27 52 AM.mov",122.026667,30.001639,3661
12,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/310/Video 2025-03-10, 6 41 31 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\310\Video 2025-03-10, 6 41 31 AM.mov",121.893333,30.001641,3657
13,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/354/Video 2025-03-10, 6 46 55 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\354\Video 2025-03-10, 6 46 55 AM.mov",121.160000,30.001651,3635
14,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/370/Video 2025-03-10, 6 25 31 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\370\Video 2025-03-10, 6 25 31 AM.mov",121.160000,30.001651,3635
15,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/378/Video 2025-03-10, 6 33 38 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\378\Video 2025-03-10, 6 33 38 AM.mov",121.193333,30.001650,3636
16,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/417/Video 2025-03-10, 6 35 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\417\Video 2025-03-10, 6 35 57 AM.mov",127.025000,30.001968,3811
17,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/421/Video 2025-03-10, 6 30 09 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\421\Video 2025-03-10, 6 30 09 AM.mov",122.835000,29.999593,3685
18,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/433/Video 2025-03-10, 6 44 52 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\433\Video 2025-03-10, 6 44 52 AM.mov",120.793333,30.001656,3624
19,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/436/Video 2025-03-10, 6 23 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\436\Video 2025-03-10, 6 23 18 AM.mov",121.260000,30.001649,3638
20,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/438/Video 2025-03-10, 6 38 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\438\Video 2025-03-10, 6 38 35 AM.mov",133.125000,30.001878,3994
21,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/255/Video 2025-03-10, 6 58 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\255\Video 2025-03-10, 6 58 02 AM.mov",93.128333,30.001611,2794
22,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/310/Video 2025-03-10, 6 52 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\310\Video 2025-03-10, 6 52 57 AM.mov",103.051667,29.984959,3090
23,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/354/Video 2025-03-10, 7 10 13 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\354\Video 2025-03-10, 7 10 13 AM.mov",90.428333,30.001659,2713
24,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/370/Video 2025-03-10, 7 00 12 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\370\Video 2025-03-10, 7 00 12 AM.mov",96.596667,28.044446,2709
25,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/378/Video 2025-03-10, 7 01 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\378\Video 2025-03-10, 7 01 58 AM.mov",95.503333,29.925657,2858
26,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/417/Video 2025-03-10, 7 03 53 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\417\Video 2025-03-10, 7 03 53 AM.mov",92.970000,28.557599,2655
27,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/417/Video 2025-03-10, 7 06 08 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\417\Video 2025-03-10, 7 06 08 AM.mov",90.478333,29.985079,2713
28,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/421/Video 2025-03-10, 7 12 17 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\421\Video 2025-03-10, 7 12 17 AM.mov",94.328333,30.001590,2830
29,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/433/Video 2025-03-10, 6 56 17 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\433\Video 2025-03-10, 6 56 17 AM.mov",91.786667,29.993463,2753
30,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/436/Video 2025-03-10, 7 07 56 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\436\Video 2025-03-10, 7 07 56 AM.mov",89.928333,30.001668,2698
31,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/438/Video 2025-03-10, 6 54 49 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\438\Video 2025-03-10, 6 54 49 AM.mov",85.278333,29.995896,2558
