sequence_index,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,sequence_seconds,target_fps,frames_per_sequence,crop_size,start_second,end_second,source_fps,source_frame_count,source_duration_sec,detected_frames,filled_frames,confidence_threshold,mean_detection_confidence,min_detection_confidence,max_detection_confidence,created_utc
1,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 29/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 29\394-lameness.mov,10.0,24.0,240,224,26.27,36.269999999999996,29.996802046690117,1876,62.54,240,0,0.6,0.9084200409551462,0.8190696835517883,0.9359119534492493,2026-05-01T06:11:12Z
2,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 7/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 7\323-lameness.mov,10.0,24.0,240,224,25.3475,35.3475,30.00247137325974,1821,60.695,240,0,0.6,0.9290141927699248,0.9065861105918884,0.9414511322975159,2026-05-01T06:11:29Z
3,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/310/Video 2025-02-28, 9 59 51 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\28 Feb 2025\After Exercise\310\Video 2025-02-28, 9 59 51 AM.mov",10.0,24.0,240,224,55.58,65.58,29.993397160779136,3634,121.16,240,0,0.6,0.9342046479384104,0.8413070440292358,0.9525526165962219,2026-05-01T06:12:36Z
4,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\406.mov,10.0,24.0,240,224,19.1025,29.1025,29.996888289596516,1446,48.205,240,0,0.6,0.911056953171889,0.6656190752983093,0.9454083442687988,2026-05-01T06:13:37Z
5,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 29/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 29\387.mov,10.0,24.0,240,224,25.453333333333337,35.45333333333333,29.99671628721541,1827,60.90666666666667,240,0,0.6,0.873274622609218,0.7288834452629089,0.9360445141792297,2026-05-01T06:14:36Z
6,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\402.mov,10.0,24.0,240,224,25.619999999999997,35.62,29.996734160679296,1837,61.239999999999995,240,0,0.6,0.9249715042610963,0.82548588514328,0.945385754108429,2026-05-01T06:15:34Z
7,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\446- fresh cows.mov,10.0,24.0,240,224,20.535833333333333,30.535833333333333,29.997062950755474,1532,51.071666666666665,240,0,0.6,0.9178997702896595,0.8467555046081543,0.9354230165481567,2026-05-01T06:16:32Z
8,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Oct 1/403-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Oct 1\403-lameness.mov,10.0,24.0,240,224,25.736666666666665,35.736666666666665,29.996746556772585,1844,61.47333333333333,240,0,0.6,0.9344641707837582,0.9022217392921448,0.9474548697471619,2026-05-01T06:17:28Z
9,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\374.mov,10.0,24.0,240,224,24.986666666666668,34.986666666666665,29.996665184526456,1799,59.973333333333336,240,0,0.6,0.9354109381635983,0.9224289059638977,0.948823869228363,2026-05-01T06:18:28Z
10,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/421/Video 2025-03-07, 7 25 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\421\Video 2025-03-07, 7 25 57 AM.mov",10.0,24.0,240,224,55.513333333333335,65.51333333333334,30.001652528368403,3631,121.02666666666667,240,0,0.6,0.9247473751505216,0.8596033453941345,0.9458157420158386,2026-05-01T06:19:27Z
