selection_rank,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,duration_sec,fps,frame_count
1,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 29/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 29\394-lameness.mov,62.540000,29.996802,1876
2,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 7/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 7\323-lameness.mov,60.695000,30.002471,1821
3,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/310/Video 2025-02-28, 9 59 51 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\28 Feb 2025\After Exercise\310\Video 2025-02-28, 9 59 51 AM.mov",121.160000,29.993397,3634
4,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\406.mov,48.205000,29.996888,1446
5,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 29/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 29\387.mov,60.906667,29.996716,1827
6,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\402.mov,61.240000,29.996734,1837
7,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\446- fresh cows.mov,51.071667,29.997063,1532
8,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Oct 1/403-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Oct 1\403-lameness.mov,61.473333,29.996747,1844
9,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\374.mov,59.973333,29.996665,1799
10,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/421/Video 2025-03-07, 7 25 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\421\Video 2025-03-07, 7 25 57 AM.mov",121.026667,30.001653,3631
11,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/433/Video 2025-03-24, 7 12 23 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\Before exercise\433\Video 2025-03-24, 7 12 23 AM.mov",123.226667,30.001623,3697
12,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/438/Video 2025-02-20, 8 57 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\Before Exercise\438\Video 2025-02-20, 8 57 35 AM.mov",185.845000,29.998117,5575
13,428,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/428.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 5\428.mov,55.746667,29.992825,1672
14,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\426.mov,60.510000,29.995042,1815
15,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\417\Video 2025-03-12, 8 10 02 AM.mov",91.028333,30.001648,2731
16,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\427- lameness.mov,51.171667,29.997069,1535
17,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\378\Video 2025-03-12, 8 08 18 AM.mov",96.761667,30.001550,2903
18,425,Unhealthy,Unhealthy,unhealthy folder,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/425.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\425.mov,64.306667,29.996890,1929
19,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\432.mov,66.626667,29.987993,1998
20,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 6/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 6\404.mov,61.640000,29.996755,1849
21,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 35 10 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 35 10 PM.mov",195.688333,30.001789,5871
22,363,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/363-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 28\363-lameness.mov,70.395000,30.002131,2112
