sequence_index,dataset_version,candidate_index,cow_id,cow_health_status,video_health_status,health_condition,session_category,dataset_root,relative_path,video_path,sequence_seconds,target_fps,frames_per_sequence,crop_size,start_second,end_second,window_stride_seconds,window_overlap_seconds,source_fps,source_frame_count,source_duration_sec,detected_frames,filled_frames,detection_rate,filled_rate,confidence_threshold,yolo_batch_size,yolo_device,mean_detection_confidence,min_detection_confidence,max_detection_confidence,multi_face_frames,multi_face_rate,crop_area_mean,crop_area_min,crop_area_max,blur_laplacian_var_mean,created_utc,sequence_dir
1,thesis_stride8_qa,1,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,0.0,10.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,238,2,0.9916666666666667,0.008333333333333333,0.6,32,0,0.8051946361024841,0.6068741679191589,0.9468674063682556,220,0.9166666666666666,1340440.8697478992,50610,1629720,2379.066236425761,2026-05-25T17:27:38Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_352_healthy\sequence_truro_cow_video_da_a4ec7e26_t000s
2,thesis_stride8_qa,2,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,238,2,0.9916666666666667,0.008333333333333333,0.6,32,0,0.8270876810831183,0.6011395454406738,0.9235283136367798,206,0.8583333333333333,1319728.1134453781,37448,1464480,2321.9390138510375,2026-05-25T17:28:34Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_352_healthy\sequence_truro_cow_video_da_a4ec7e26_t008s
3,thesis_stride8_qa,3,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,16.0,26.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,240,0,1.0,0.0,0.6,32,0,0.8281992877523104,0.6011395454406738,0.9584932327270508,232,0.9666666666666667,1270435.5833333333,34717,1707480,2510.092145006777,2026-05-25T17:29:33Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_352_healthy\sequence_truro_cow_video_da_a4ec7e26_t016s
4,thesis_stride8_qa,4,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,24.0,34.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,221,19,0.9208333333333333,0.07916666666666666,0.6,32,0,0.8190329471324903,0.6014159321784973,0.9584932327270508,135,0.5625,1160424.7330316743,34717,1884600,2377.6190539849517,2026-05-25T17:30:24Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_352_healthy\sequence_truro_cow_video_da_a4ec7e26_t024s
5,thesis_stride8_qa,16,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\355.mov,10.0,24.0,240,224,24.0,34.0,8.0,2.0,29.98840867693327,1811,60.39,227,13,0.9458333333333333,0.05416666666666667,0.6,32,0,0.8268971802904742,0.615402340888977,0.96338951587677,74,0.30833333333333335,1104998.3127753304,291678,1494720,2185.1153192495995,2026-05-25T17:39:56Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_d8661e98_t024s
6,thesis_stride8_qa,17,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\355.mov,10.0,24.0,240,224,32.0,42.0,8.0,2.0,29.98840867693327,1811,60.39,218,22,0.9083333333333333,0.09166666666666666,0.6,32,0,0.8336130235720118,0.6026593446731567,0.9457627534866333,22,0.09166666666666666,1048776.2339449541,599676,1642680,2185.468240678818,2026-05-25T17:40:43Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_d8661e98_t032s
7,thesis_stride8_qa,20,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,0.0,10.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,235,5,0.9791666666666666,0.020833333333333332,0.6,32,0,0.8776376080005727,0.6304807662963867,0.9482148885726929,7,0.029166666666666667,1222315.285106383,1141240,1312279,3733.0553916158287,2026-05-25T17:43:12Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t000s
8,thesis_stride8_qa,21,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,235,5,0.9791666666666666,0.020833333333333332,0.6,32,0,0.8804785195817338,0.6182053089141846,0.9545238018035889,1,0.004166666666666667,1331398.2127659575,1125355,1499502,3555.4689810201817,2026-05-25T17:44:12Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t008s
9,thesis_stride8_qa,22,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,16.0,26.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,220,20,0.9166666666666666,0.08333333333333333,0.6,32,0,0.8566161719235507,0.601648211479187,0.9545239210128784,33,0.1375,1156125.6045454545,894284,1499502,3463.1777869425873,2026-05-25T17:45:12Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t016s
10,thesis_stride8_qa,23,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,10.0,24.0,240,224,24.0,34.0,8.0,2.0,29.9972104268047,1613,53.77166666666667,218,22,0.9083333333333333,0.09166666666666666,0.6,32,0,0.8172014221685742,0.6013603806495667,0.9511785507202148,37,0.15416666666666667,1174863.380733945,567840,1434240,3226.598725038166,2026-05-25T17:46:13Z,C:\Users\shivp\Downloads\Research\DATASET\Transferlearning\cow_face_sequences_thesis_stride8\output\sequences\healthy\cow_355_healthy\sequence_truro_cow_video_da_5624f69b_t024s
