health_condition,n,pain_prob_mean,pain_prob_std
fresh cows,7,0.42391308716365267,0.046311029447607434
healthy,38,0.4279092565963143,0.05432452275103958
healthy folder,85,0.43177835625760697,0.04649836705586638
lame,18,0.43126127786106533,0.054814971149582795
lameness,55,0.4294567449526353,0.061358127741539564
lameness/stiffness,11,0.446910099549727,0.03643453711482932
possible mastitis,21,0.44137319638615563,0.0493797089917449
possible metritis,10,0.47638080418109896,0.04286525238468361
sudden fall,4,0.44517144560813904,0.05457011746438251
unhealthy folder,1,0.38768622279167175,0.0
